No,Time,DC/AC,Value,Unit,AUTO
41,19:19:12,DC,-000.1,uA,AUTO
42,19:19:12,DC,-000.1,uA,AUTO
43,19:19:13,DC,-000.1,uA,AUTO
44,19:19:13,DC,-000.1,uA,AUTO
45,19:19:13,DC,-000.1,uA,AUTO
46,19:19:14,DC,-000.1,uA,AUTO
47,19:19:14,DC,-000.1,uA,AUTO
48,19:19:14,DC,-000.1,uA,AUTO
49,19:19:15,DC,-000.1,uA,AUTO
50,19:19:15,DC,-000.1,uA,AUTO
51,19:19:15,DC,-000.1,uA,AUTO
52,19:19:15,DC,-000.1,uA,AUTO
53,19:19:16,DC,000.1,uA,AUTO
54,19:19:16,DC,000.1,uA,AUTO
55,19:19:16,DC,000.7,uA,AUTO
56,19:19:16,DC,000.7,uA,AUTO
57,19:19:17,DC,001.9,uA,AUTO
58,19:19:17,DC,001.9,uA,AUTO
59,19:19:17,DC,003.5,uA,AUTO
60,19:19:17,DC,003.5,uA,AUTO
61,19:19:18,DC,005.0,uA,AUTO
62,19:19:18,DC,005.0,uA,AUTO
63,19:19:18,DC,006.4,uA,AUTO
64,19:19:18,DC,006.4,uA,AUTO
65,19:19:19,DC,008.3,uA,AUTO
66,19:19:19,DC,008.3,uA,AUTO
67,19:19:20,DC,011.7,uA,AUTO
68,19:19:20,DC,011.7,uA,AUTO
69,19:19:20,DC,016.9,uA,AUTO
70,19:19:20,DC,016.9,uA,AUTO
71,19:19:21,DC,021.0,uA,AUTO
72,19:19:21,DC,021.0,uA,AUTO
73,19:19:21,DC,022.0,uA,AUTO
74,19:19:21,DC,022.0,uA,AUTO
75,19:19:22,DC,021.2,uA,AUTO
76,19:19:22,DC,021.2,uA,AUTO
77,19:19:22,DC,021.5,uA,AUTO
78,19:19:22,DC,021.5,uA,AUTO
79,19:19:23,DC,025.5,uA,AUTO
80,19:19:23,DC,025.5,uA,AUTO
81,19:19:23,DC,034.6,uA,AUTO
82,19:19:23,DC,034.6,uA,AUTO
83,19:19:24,DC,047.3,uA,AUTO
84,19:19:24,DC,047.3,uA,AUTO
85,19:19:24,DC,055.8,uA,AUTO
86,19:19:25,DC,055.8,uA,AUTO
87,19:19:25,DC,054.8,uA,AUTO
88,19:19:25,DC,054.8,uA,AUTO
89,19:19:26,DC,047.8,uA,AUTO
90,19:19:26,DC,047.8,uA,AUTO
91,19:19:26,DC,041.7,uA,AUTO
