Time,Value
0,-0.1
1,-0.10000000000000002
2,-0.10000000000000002
3,-0.1
4,0.39999999999999997
5,2.7
6,5.699999999999999
7,8.3
8,14.299999999999999
9,21.5
10,21.35
11,30.049999999999997
12,50.133333333333326
13,55.133333333333326
14,44.75
15,44.9
16,74.55
17,113.55
18,110.6
19,83.44999999999999
20,65.19999999999999
21,86.15
22,140.35
23,205.2
24,219.4
25,179.89999999999998
26,116.6
27,91.4
28,111.25
29,157.5
30,203.16666666666666
31,277.35
32,356.75
33,381.85
34,319.34999999999997
35,245.5
36,181.35
37,130.55
38,122.25
39,146.2
40,177.8
41,218.04999999999998
42,279.9
43,349.15
44,422.0
45,480.5
46,556.5
47,621.5
48,654.0
49,649.0
50,612.0
51,533.0
52,438.5
53,371.0
54,303.65
55,243.55
56,203.85
57,182.7
58,176.95
59,182.26666666666665
60,191.13333333333333
61,208.75
62,233.3
63,261.8
64,290.40000000000003
65,312.26666666666665
66,343.2
67,281.35
68,416.5
69,449.0
70,473.6666666666667
71,507.5
72,544.0
73,581.0
74,617.5
75,645.0
76,673.0
77,710.0
78,746.5
79,783.5
80,817.3333333333334
81,842.0
82,875.0
83,910.5
84,945.5
85,980.0
86,1006.0
87,1022.0
