No,Time,DC/AC,Value,Unit,AUTO
37,19:17:03,DC,-000.1,uA,AUTO
38,19:17:03,DC,-000.1,uA,AUTO
39,19:17:04,DC,-000.1,uA,AUTO
40,19:17:04,DC,-000.1,uA,AUTO
41,19:17:04,DC,-000.1,uA,AUTO
42,19:17:05,DC,-000.1,uA,AUTO
43,19:17:05,DC,-000.2,uA,AUTO
44,19:17:05,DC,-000.2,uA,AUTO
45,19:17:06,DC,-000.1,uA,AUTO
46,19:17:06,DC,-000.1,uA,AUTO
47,19:17:06,DC,-000.1,uA,AUTO
48,19:17:06,DC,-000.1,uA,AUTO
49,19:17:07,DC,-000.0,uA,AUTO
50,19:17:07,DC,-000.0,uA,AUTO
51,19:17:07,DC,000.3,uA,AUTO
52,19:17:07,DC,000.3,uA,AUTO
53,19:17:08,DC,001.0,uA,AUTO
54,19:17:08,DC,001.0,uA,AUTO
55,19:17:08,DC,002.2,uA,AUTO
56,19:17:08,DC,002.2,uA,AUTO
57,19:17:09,DC,003.6,uA,AUTO
58,19:17:09,DC,003.6,uA,AUTO
59,19:17:09,DC,004.9,uA,AUTO
60,19:17:09,DC,004.9,uA,AUTO
61,19:17:10,DC,006.4,uA,AUTO
62,19:17:10,DC,006.4,uA,AUTO
63,19:17:11,DC,008.7,uA,AUTO
64,19:17:11,DC,008.7,uA,AUTO
65,19:17:11,DC,012.5,uA,AUTO
66,19:17:11,DC,012.5,uA,AUTO
67,19:17:12,DC,016.6,uA,AUTO
68,19:17:12,DC,016.6,uA,AUTO
69,19:17:12,DC,018.8,uA,AUTO
70,19:17:12,DC,018.8,uA,AUTO
71,19:17:13,DC,019.0,uA,AUTO
72,19:17:13,DC,019.0,uA,AUTO
73,19:17:13,DC,018.8,uA,AUTO
74,19:17:13,DC,018.8,uA,AUTO
75,19:17:14,DC,020.5,uA,AUTO
76,19:17:14,DC,020.5,uA,AUTO
77,19:17:14,DC,026.0,uA,AUTO
78,19:17:14,DC,026.0,uA,AUTO
79,19:17:15,DC,035.3,uA,AUTO
80,19:17:15,DC,035.3,uA,AUTO
81,19:17:16,DC,044.6,uA,AUTO
82,19:17:16,DC,044.6,uA,AUTO
83,19:17:16,DC,047.7,uA,AUTO
84,19:17:16,DC,047.7,uA,AUTO
85,19:17:17,DC,044.4,uA,AUTO
86,19:17:17,DC,044.4,uA,AUTO
87,19:17:17,DC,039.0,uA,AUTO
88,19:17:17,DC,039.0,uA,AUTO
89,19:17:18,DC,036.0,uA,AUTO
90,19:17:18,DC,036.0,uA,AUTO
91,19:17:18,DC,038.5,uA,AUTO
92,19:17:18,DC,038.5,uA,AUTO
93,19:17:19,DC,047.4,uA,AUTO
94,19:17:19,DC,047.4,uA,AUTO
95,19:17:19,DC,062.9,uA,AUTO
96,19:17:19,DC,062.9,uA,AUTO
97,19:17:20,DC,082.1,uA,AUTO
98,19:17:20,DC,082.1,uA,AUTO
99,19:17:20,DC,096.5,uA,AUTO
100,19:17:21,DC,096.5,uA,AUTO
101,19:17:21,DC,097.7,uA,AUTO
102,19:17:21,DC,097.7,uA,AUTO
103,19:17:22,DC,087.2,uA,AUTO
104,19:17:22,DC,087.2,uA,AUTO
105,19:17:22,DC,072.5,uA,AUTO
106,19:17:22,DC,072.5,uA,AUTO
107,19:17:23,DC,060.6,uA,AUTO
108,19:17:23,DC,060.6,uA,AUTO
109,19:17:23,DC,055.8,uA,AUTO
110,19:17:23,DC,055.8,uA,AUTO
111,19:17:24,DC,059.4,uA,AUTO
112,19:17:24,DC,059.4,uA,AUTO
113,19:17:24,DC,071.0,uA,AUTO
114,19:17:24,DC,071.0,uA,AUTO
115,19:17:25,DC,090.0,uA,AUTO
116,19:17:25,DC,090.0,uA,AUTO
117,19:17:25,DC,115.4,uA,AUTO
118,19:17:25,DC,115.4,uA,AUTO
119,19:17:26,DC,144.7,uA,AUTO
120,19:17:26,DC,144.7,uA,AUTO
121,19:17:27,DC,171.3,uA,AUTO
122,19:17:27,DC,171.3,uA,AUTO
123,19:17:27,DC,184.4,uA,AUTO
124,19:17:27,DC,184.4,uA,AUTO
125,19:17:28,DC,178.0,uA,AUTO
126,19:17:28,DC,178.0,uA,AUTO
127,19:17:28,DC,156.2,uA,AUTO
128,19:17:28,DC,156.2,uA,AUTO
129,19:17:29,DC,128.7,uA,AUTO
130,19:17:29,DC,128.7,uA,AUTO
131,19:17:29,DC,103.6,uA,AUTO
132,19:17:29,DC,103.6,uA,AUTO
133,19:17:30,DC,086.0,uA,AUTO
134,19:17:30,DC,086.0,uA,AUTO
135,19:17:30,DC,078.1,uA,AUTO
136,19:17:30,DC,078.1,uA,AUTO
137,19:17:31,DC,079.6,uA,AUTO
138,19:17:31,DC,079.6,uA,AUTO
139,19:17:31,DC,089.5,uA,AUTO
140,19:17:32,DC,089.5,uA,AUTO
141,19:17:32,DC,106.4,uA,AUTO
142,19:17:32,DC,106.4,uA,AUTO
143,19:17:33,DC,129.1,uA,AUTO
144,19:17:33,DC,129.1,uA,AUTO
145,19:17:33,DC,156.6,uA,AUTO
146,19:17:33,DC,156.6,uA,AUTO
147,19:17:34,DC,188.2,uA,AUTO
148,19:17:34,DC,188.2,uA,AUTO
149,19:17:34,DC,222.9,uA,AUTO
150,19:17:34,DC,222.9,uA,AUTO
151,19:17:35,DC,258.9,uA,AUTO
152,19:17:35,DC,258.9,uA,AUTO
153,19:17:35,DC,292.0,uA,AUTO
154,19:17:35,DC,292.0,uA,AUTO
155,19:17:36,DC,315.7,uA,AUTO
156,19:17:36,DC,315.7,uA,AUTO
157,19:17:36,DC,323.1,uA,AUTO
158,19:17:36,DC,323.1,uA,AUTO
159,19:17:37,DC,311.0,uA,AUTO
160,19:17:37,DC,311.0,uA,AUTO
161,19:17:37,DC,282.7,uA,AUTO
162,19:17:38,DC,282.7,uA,AUTO
163,19:17:38,DC,245.0,uA,AUTO
164,19:17:38,DC,245.0,uA,AUTO
165,19:17:39,DC,205.3,uA,AUTO
166,19:17:39,DC,205.3,uA,AUTO
167,19:17:39,DC,169.0,uA,AUTO
168,19:17:39,DC,169.0,uA,AUTO
169,19:17:40,DC,139.5,uA,AUTO
170,19:17:40,DC,139.5,uA,AUTO
171,19:17:40,DC,118.2,uA,AUTO
172,19:17:40,DC,118.2,uA,AUTO
173,19:17:41,DC,105.4,uA,AUTO
174,19:17:41,DC,105.4,uA,AUTO
175,19:17:41,DC,100.7,uA,AUTO
176,19:17:41,DC,100.7,uA,AUTO
177,19:17:42,DC,103.0,uA,AUTO
178,19:17:42,DC,103.0,uA,AUTO
179,19:17:42,DC,111.4,uA,AUTO
180,19:17:42,DC,111.4,uA,AUTO
181,19:17:43,DC,124.7,uA,AUTO
182,19:17:43,DC,124.7,uA,AUTO
183,19:17:44,DC,141.8,uA,AUTO
184,19:17:44,DC,141.8,uA,AUTO
185,19:17:44,DC,162.1,uA,AUTO
186,19:17:44,DC,162.1,uA,AUTO
187,19:17:45,DC,184.8,uA,AUTO
188,19:17:45,DC,184.8,uA,AUTO
189,19:17:45,DC,209.7,uA,AUTO
190,19:17:45,DC,209.7,uA,AUTO
191,19:17:46,DC,236.3,uA,AUTO
192,19:17:46,DC,236.3,uA,AUTO
193,19:17:46,DC,264.3,uA,AUTO
194,19:17:46,DC,264.3,uA,AUTO
195,19:17:47,DC,293.7,uA,AUTO
196,19:17:47,DC,293.7,uA,AUTO
197,19:17:47,DC,324.2,uA,AUTO
198,19:17:47,DC,324.2,uA,AUTO
199,19:17:48,DC,355.6,uA,AUTO
200,19:17:48,DC,355.6,uA,AUTO
201,19:17:49,DC,417,uA,AUTO
202,19:17:49,DC,417,uA,AUTO
203,19:17:50,DC,448,uA,AUTO
204,19:17:50,DC,448,uA,AUTO
205,19:17:50,DC,477,uA,AUTO
206,19:17:50,DC,477,uA,AUTO
207,19:17:51,DC,503,uA,AUTO
208,19:17:51,DC,503,uA,AUTO
209,19:17:51,DC,523,uA,AUTO
210,19:17:51,DC,523,uA,AUTO
211,19:17:52,DC,535,uA,AUTO
212,19:17:52,DC,535,uA,AUTO
213,19:17:52,DC,538,uA,AUTO
214,19:17:52,DC,538,uA,AUTO
215,19:17:53,DC,531,uA,AUTO
216,19:17:53,DC,531,uA,AUTO
217,19:17:53,DC,514,uA,AUTO
218,19:17:53,DC,514,uA,AUTO
219,19:17:54,DC,488,uA,AUTO
220,19:17:54,DC,488,uA,AUTO
221,19:17:54,DC,457,uA,AUTO
222,19:17:55,DC,457,uA,AUTO
223,19:17:55,DC,421,uA,AUTO
224,19:17:55,DC,421,uA,AUTO
225,19:17:56,DC,384,uA,AUTO
226,19:17:56,DC,384,uA,AUTO
227,19:17:56,DC,323.0,uA,AUTO
228,19:17:57,DC,323.0,uA,AUTO
229,19:17:57,DC,288.7,uA,AUTO
230,19:17:57,DC,288.7,uA,AUTO
231,19:17:58,DC,257.6,uA,AUTO
232,19:17:58,DC,257.6,uA,AUTO
233,19:17:58,DC,230.1,uA,AUTO
234,19:17:58,DC,230.1,uA,AUTO
235,19:17:59,DC,206.3,uA,AUTO
236,19:17:59,DC,206.3,uA,AUTO
237,19:17:59,DC,186.3,uA,AUTO
238,19:17:59,DC,186.3,uA,AUTO
