Time,Value
0,-0.1
1,-0.10000000000000002
2,-0.16666666666666666
3,-0.1
4,0.15
5,1.6
6,4.25
7,6.4
8,10.6
9,17.7
10,18.9
11,23.25
12,35.3
13,46.150000000000006
14,41.7
15,37.25
16,55.15
17,86.89999999999999
18,97.3
19,79.85
20,58.2
21,65.2
22,102.69999999999999
23,144.7
24,177.85
25,167.10000000000002
26,116.15
27,82.05
28,82.89999999999999
29,100.76666666666667
30,142.85
31,205.54999999999998
32,275.45
33,319.4
34,301.56666666666666
35,257.56666666666666
36,187.15
37,128.85
38,103.05
39,107.19999999999999
40,124.7
41,151.95000000000002
42,197.25
43,250.3
44,308.95
45,355.6
46,417.0
47,462.5
48,513.0
49,536.5
50,522.5
51,477.6666666666667
52,433.0
53,363.6666666666667
54,300.1333333333334
55,243.85000000000002
56,196.3
57,163.7
58,145.15
59,138.6
60,138.14999999999998
61,144.04999999999998
62,156.0
63,172.55
64,190.5
65,204.76666666666665
66,225.5
67,249.15
68,273.29999999999995
69,297.95000000000005
70,320.73333333333335
71,337.3333333333333
72,360.05
73,378.5
74,410.0
75,434.5
76,452.0
77,469.5
78,492.0
79,514.5
80,536.5
81,556.6666666666666
82,570.6666666666666
83,589.0
84,609.0
85,627.5
86,645.5
87,659.0
88,671.0
